signal_breakout_date,retest_date,entry_date,exit_date,year,entry_open,exit_close,mae,mfe,net_ret,ticker
2023-07-10,2023-07-11,2023-07-12,2023-08-08,2023,509.4100036621094,520.5999755859375,-0.018452707698923376,0.08545179416651227,0.021887152000618304,ADBE
2023-07-17,2023-07-24,2023-07-25,2023-08-21,2023,519.4199829101562,520.469970703125,-0.029879460791473522,0.0645335578801709,0.0019443782269326082,ADBE
2023-07-18,2023-07-24,2023-07-25,2023-08-21,2023,519.4199829101562,520.469970703125,-0.029879460791473522,0.0645335578801709,0.0019443782269326082,ADBE
2023-09-01,2023-09-05,2023-09-06,2023-10-03,2023,560.4500122070312,507.0299987792969,-0.11017931778934364,0.01746806640041121,-0.09538425297228359,ADBE
2023-09-05,2023-09-11,2023-09-12,2023-10-09,2023,555.6300048828125,529.2899780273438,-0.10246025624154032,0.007594929478322632,-0.047475977006483205,ADBE
2023-11-08,2023-11-10,2023-11-13,2023-12-11,2023,589.97998046875,625.2000122070312,-0.011220711441645492,0.06545983998728766,0.05962717441165166,ADBE
2023-11-10,2023-11-13,2023-11-14,2023-12-12,2023,601.5599975585938,633.6599731445312,-0.017271784511278865,0.05374362860072779,0.05329295474591467,ADBE
2023-11-14,2023-11-16,2023-11-17,2023-12-15,2023,602.0700073242188,584.6799926757812,-0.039646544134083306,0.05285100891445582,-0.028949184401679706,ADBE
2023-11-22,2023-11-28,2023-11-29,2023-12-27,2023,625.9400024414062,596.0800170898438,-0.07626927508734183,0.012700917302014725,-0.047766606867762795,ADBE
2023-12-11,2023-12-12,2023-12-13,2024-01-11,2023,630.4099731445312,597.489990234375,-0.10639099815396746,0.003236051378318283,-0.05228175104961241,ADBE
2024-09-11,2024-09-12,2024-09-13,2024-10-10,2024,532.5700073242188,503.57000732421875,-0.08669285313250263,0.014458216011296487,-0.054525994856530646,ADBE
2019-05-09,2019-05-10,2019-05-13,2019-06-10,2019,50.97999954223633,53.33000183105469,-0.01785013447593664,0.06257353188216697,0.04529416293239952,AIG
2019-05-10,2019-05-14,2019-05-15,2019-06-12,2019,51.08000183105469,52.959999084472656,-0.008222434780478682,0.06049326991237547,0.03600777274923206,AIG
2019-05-15,2019-05-17,2019-05-20,2019-06-17,2019,52.43000030517578,52.9900016784668,-0.03375930664621685,0.03318706568074847,0.009914230128988066,AIG
2019-05-16,2019-05-17,2019-05-20,2019-06-17,2019,52.43000030517578,52.9900016784668,-0.03375930664621685,0.03318706568074847,0.009914230128988066,AIG
2019-05-17,2019-05-20,2019-05-21,2019-06-18,2019,52.779998779296875,53.349998474121094,-0.04016671051376264,0.02633572227731218,0.010037873240103634,AIG
2019-05-20,2019-05-21,2019-05-22,2019-06-19,2019,52.310001373291016,53.599998474121094,-0.031542754398040995,0.03555719263666468,0.02388681574673268,AIG
2019-05-21,2019-05-22,2019-05-23,2019-06-20,2019,52.220001220703125,54.25,-0.02987363724289871,0.04098045460787958,0.03809339075030915,AIG
2019-05-22,2019-05-24,2019-05-28,2019-06-24,2019,52.59000015258789,53.31999969482422,-0.036698997900284414,0.040692135072053714,0.013115368565578267,AIG
2019-05-24,2019-06-03,2019-06-04,2019-07-01,2019,53.18000030517578,53.84000015258789,-0.02030842092623264,0.02914628108623174,0.01165413240329971,AIG
2019-06-04,2019-06-05,2019-06-06,2019-07-03,2019,53.59000015258789,54.83000183105469,-0.027803725960520387,0.027430513463660322,0.02238391484893265,AIG
