signal_date,entry_date,strategy,ticker,side,shares,entry_fill_est,planned_exit_date
2019-10-01,2019-10-02,TP_v2,AIG,BUY,0.010850324520946609,54.110000152587894,2019-10-30
2019-10-02,2019-10-03,TP_v2,BA,BUY,0.00016461069867065422,366.2299914550781,2019-10-31
2019-10-02,2019-10-03,TP_v2,DHR,BUY,0.00048009362603616476,121.25226928710937,2019-10-31
2019-10-02,2019-10-03,TP_v2,C,BUY,0.0008569027529260351,66.10000183105468,2019-10-31
2019-10-02,2019-10-03,TP_v2,ABT,BUY,0.0007531895378004659,79.27,2019-10-31
2019-10-02,2019-10-03,MR_1A,SCHW,BUY,0.0013257955142148298,36.15999938964844,2019-10-17
2019-10-02,2019-10-03,MR_1A,COP,BUY,0.0009297690205216651,52.81000091552735,2019-10-17
2019-10-02,2019-10-03,MR_1A,GM,BUY,0.001723749922170627,34.529998321533206,2019-10-17
2019-10-18,2019-10-21,TP_v2,ORCL,BUY,0.03207815756283401,55.08000137329102,2019-11-18
2019-10-23,2019-10-24,TP_v2,TXN,BUY,0.0003811928018787076,118.82999755859375,2019-11-21
2019-10-23,2019-10-24,TP_v2,MA,BUY,0.00020837271460662958,263.57999755859373,2019-11-21
2019-10-23,2019-10-24,MR_1A,TXN,BUY,0.0005622599308982057,118.82999755859375,2019-11-07
2019-10-28,2019-10-29,TP_v2,AMT,BUY,0.0010013145314852095,211.02999450683595,2019-11-26
2019-11-07,2019-11-08,TP_v2,MRK,BUY,0.011084569249615771,79.13259460449218,2019-12-09
2019-11-20,2019-11-21,TP_v2,QCOM,BUY,0.02124549047047416,84.81000091552734,2019-12-20
2019-11-22,2019-11-25,TP_v2,TSLA,BUY,0.002703403296462084,22.974666137695312,2019-12-24
2019-11-22,2019-11-25,MR_1A,TSLA,BUY,0.0018022688643080566,22.974666137695312,2019-12-10
2019-11-26,2019-11-27,TP_v2,AMD,BUY,0.005447120572223238,39.47999908447266,2019-12-27
2019-12-10,2019-12-11,TP_v2,NOW,BUY,0.01841481589617799,53.220000762939456,2020-01-10
2019-12-20,2019-12-23,MR_1A,FDX,BUY,0.00866891681985798,149.57999755859376,2020-01-08
2020-01-10,2020-01-13,TP_v2,AVGO,BUY,0.06756917052531625,30.02200080871582,2020-02-11
2020-01-15,2020-01-16,TP_v2,TGT,BUY,0.011542970881547784,117.15999938964843,2020-02-14
2020-02-14,2020-02-18,MR_1A,AIG,BUY,0.02915411477314056,48.130000610351566,2020-03-03
2020-02-20,2020-02-21,TP_v2,GE,BUY,0.010322223037033134,62.072478790283206,2020-03-20
2020-02-20,2020-02-21,TP_v2,AVGO,BUY,0.02274032924344065,30.870000381469726,2020-03-20
2020-02-21,2020-02-24,TP_v2,MS,BUY,0.007496389375251981,50.33000137329102,2020-03-23
2020-02-21,2020-02-24,TP_v2,INTC,BUY,0.006243195009281184,61.630000610351566,2020-03-23
2020-03-03,2020-03-04,TP_v2,CRM,BUY,0.0004831480834008623,172.27,2020-04-01
2020-03-03,2020-03-04,TP_v2,TMUS,BUY,0.0011089301749731839,90.45000030517578,2020-04-01
2020-03-03,2020-03-04,TP_v2,TGT,BUY,0.0009112497489749646,107.02,2020-04-01
2020-03-03,2020-03-04,TP_v2,BMY,BUY,0.0017332749499583717,60.220000762939456,2020-04-01
2020-03-03,2020-03-04,TP_v2,BLK,BUY,0.00018630152309167256,488.1099963378906,2020-04-01
2020-03-03,2020-03-04,TP_v2,CHTR,BUY,0.0002621203066761397,502.4000048828125,2020-04-01
2020-03-03,2020-03-04,TP_v2,SO,BUY,0.0018149306094830384,64.65999938964843,2020-04-01
2020-03-03,2020-03-04,MR_1A,SCHW,BUY,0.012571054479843712,38.470000762939456,2020-03-18
2020-03-05,2020-03-06,MR_1A,BA,BUY,2.716322527334201e-20,253.7199969482422,2020-03-20
2020-03-05,2020-03-06,MR_1A,USB,BUY,2.0393839567893173e-19,41.700000305175784,2020-03-20
